id,name,market,close,change,turnover,high,low
0050,元大台灣50,TWSE,108.25,-0.1,8237066196,109.6,107.7
0051,元大中型100,TWSE,149.5,0.15,10394987,151.6,149.3
0052,富邦科技,TWSE,63.55,0,1054291586,64.4,63.2
0053,元大電子,TWSE,246.55,-0.85,17259572,249.25,245.5
0055,元大MSCI金融,TWSE,42.09,0.55,16073313,42.17,41.54
0056,元大高股息,TWSE,53.25,0.4,2965784412,53.95,53.1
0057,富邦摩台,TWSE,322.45,-0.15,2726082,323.7,322.45
0061,元大寶滬深,TWSE,25.22,-0.05,13797318,25.47,25.12
1101,台泥,TWSE,23.7,0.05,376081185,23.9,23.65
1102,亞泥,TWSE,36.55,0.1,422198512,36.9,36.4
1103,嘉泥,TWSE,13.75,0.1,4827666,13.8,13.65
1104,環泥,TWSE,27.55,0.15,21540307,27.75,27.35
1108,幸福,TWSE,14.1,0.2,6969748,14.15,13.95
1109,信大,TWSE,14.8,0.1,1244931,14.8,14.7
1110,東泥,TWSE,15.9,-0.05,7295437,16.3,15.9
1201,味全,TWSE,12.7,0.05,11248855,12.8,12.6
1203,味王,TWSE,42.9,-0.45,986800,42.95,42.4
1210,大成,TWSE,58.8,0.8,232460483,59.5,58.1
1213,大飲,TWSE,7.58,-0.32,678651,7.67,7.39
1215,卜蜂,TWSE,113,0.5,203864005,113,110.5
1216,統一,TWSE,77.8,1.5,1758364529,78.4,76.4
1217,愛之味,TWSE,10.2,0.05,11508371,10.25,10.1
1218,泰山,TWSE,17.3,-0.05,17935627,17.3,17.1
1219,福壽,TWSE,12.35,-0.05,17610188,12.4,12.2
1220,台榮,TWSE,11.85,0,827324,11.9,11.75
1225,福懋油,TWSE,28.05,-0.6,11992574,28.45,27.85
1227,佳格,TWSE,30.65,0.65,87186850,30.65,30.2
1229,聯華,TWSE,43.7,-0.05,217064651,44.2,43.6
1231,聯華食,TWSE,89.1,0.6,36536953,89.9,88.1
1232,大統益,TWSE,149,2.5,140900926,154,148.5
1233,天仁,TWSE,28.15,-0.05,1027170,28.3,28
1234,黑松,TWSE,33.35,0.2,3042597,33.35,33.15
1235,興泰,TWSE,36.9,-0.1,11129347,36.9,36.6
1236,宏亞,TWSE,25.55,-0.05,2185759,25.8,25.5
1256,鮮活果汁-KY,TWSE,199,6,34371770,203,193.5
1301,台塑,TWSE,60.4,-1.7,4654512061,63.3,60
1303,南亞,TWSE,185,-12,4771754044,200,181
1304,台聚,TWSE,14.7,-0.8,473229202,15.8,14.45
1305,華夏,TWSE,14.1,-0.75,119279219,14.65,14
1307,三芳,TWSE,33.15,0,92995637,34.7,32.95
1308,亞聚,TWSE,15.5,-0.35,280554154,17,15.1
1309,台達化,TWSE,15.6,-1.1,265201752,16.6,15.4
1310,台苯,TWSE,11.8,0.4,460431522,12.45,11.65
