date,taiex,otc
2025-05-02,20787.64,0
2025-05-05,20532.99,0
2025-05-06,20522.59,0
2025-05-07,20546.49,0
2025-05-08,20543.4,0
2025-05-09,20915.04,0
2025-05-12,21129.54,0
2025-05-13,21330.14,0
2025-05-14,21782.87,0
2025-05-15,21730.25,0
2025-05-16,21843.69,0
2025-05-19,21523.83,0
2025-05-20,21526.03,0
2025-05-21,21803.91,230.26
2025-05-22,21670.96,228.98
2025-05-23,21652.24,228.79
2025-05-26,21536.57,227.67
2025-05-27,21336.54,226.26
2025-05-28,21357.72,225.84
2025-05-29,21347.3,227.27
2025-06-02,21002.71,222.04
2025-06-03,21126.93,222.5
2025-06-04,21618.09,226.24
2025-06-05,21674.43,227.23
2025-06-06,21660.66,227.31
2025-06-09,21790.29,227.9
2025-06-10,22242.14,230.82
2025-06-11,22470.1,234.01
2025-06-12,22287.82,234.77
2025-06-13,22072.95,231.18
2025-06-16,22049.9,231.2
2025-06-17,22211.59,231.15
2025-06-18,22356.73,231.79
2025-06-19,22003.5,228.56
2025-06-20,22045.74,226.55
2025-06-23,21732.02,226.34
2025-06-24,22188.76,231.31
2025-06-25,22430.61,233.17
2025-06-26,22492.34,233.22
2025-06-27,22580.08,233.63
2025-06-30,22256.02,231.35
2025-07-01,22553.72,232.21
2025-07-02,22577.74,232.92
2025-07-03,22712.97,234.6
2025-07-04,22547.5,231.61
2025-07-07,22428.72,228.94
2025-07-08,22362.27,228.22
2025-07-09,22527.01,230.79
2025-07-10,22693.25,231.02
2025-07-11,22751.03,232.49
2025-07-14,22614.97,230.59
2025-07-15,22835.94,232.32
2025-07-16,23042.9,232.86
2025-07-17,23113.28,235.66
2025-07-18,23383.13,235.29
2025-07-21,23340.56,234.59
2025-07-22,22987.92,228.76
2025-07-23,23318.67,232.16
2025-07-24,23373.73,232.93
2025-07-25,23364.38,232.77
2025-07-28,23412.98,233.45
2025-07-29,23201.52,231.16
2025-07-30,23461.72,231.45
2025-07-31,23542.52,232
2025-08-01,23434.38,234.03
2025-08-04,23378.94,233.87
2025-08-05,23660.59,237.03
2025-08-06,23447.36,236.05
2025-08-07,24003.77,239.54
2025-08-08,24021.26,239.79
2025-08-11,24135.5,240.2
2025-08-12,24158.36,242.36
2025-08-13,24370.02,243.33
2025-08-14,24238.1,245.53
2025-08-15,24334.48,246.07
2025-08-18,24482.52,248.34
2025-08-19,24353.5,246.97
2025-08-20,23625.44,241.32
2025-08-21,23962.13,245.68
2025-08-22,23764.47,244.14
2025-08-25,24277.38,247.48
2025-08-26,24305.1,250.28
2025-08-27,24519.9,253.83
2025-08-28,24236.45,253.99
2025-08-29,24233.1,255
2025-09-01,24071.73,252.37
2025-09-02,24016.78,251.05
2025-09-03,24100.3,253.85
2025-09-04,24179.85,254.18
2025-09-05,24494.58,258.03
2025-09-08,24547.38,259.78
2025-09-09,24855.18,259.6
2025-09-10,25192.59,260.73
2025-09-11,25215.71,256.58
2025-09-12,25474.64,258.09
2025-09-15,25357.16,255.82
2025-09-16,25629.64,259.33
2025-09-17,25438.25,257.89
2025-09-18,25769.36,262.45
2025-09-19,25578.37,263.28
2025-09-22,25880.6,266.05
2025-09-23,26247.37,265.54
2025-09-24,26196.73,264.87
2025-09-25,26023.85,263.13
2025-09-26,25580.32,257.03
2025-09-30,25820.54,261.52
2025-10-01,25982.91,261.47
2025-10-02,26378.39,262.94
2025-10-03,26761.06,263.66
2025-10-07,27211.95,264.85
2025-10-08,27063.68,265.35
2025-10-09,27301.92,265.15
2025-10-13,26923.42,261.36
2025-10-14,26793.15,255.58
2025-10-15,27275.71,260.56
2025-10-16,27647.87,263.52
2025-10-17,27302.37,261.28
2025-10-20,27688.63,263.25
2025-10-21,27752.41,265.85
2025-10-22,27648.91,264.47
2025-10-23,27532.26,262.72
2025-10-27,27993.63,264.71
2025-10-28,27949.11,264.19
